"Time","Event",""
"00:52.031","Valigarmanda 1 Burns Nej'mii Ulmuhii'e Tick  (A: 7104) (T: 196, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 226)--41% damage",""
"00:52.031","Multiple Enemies Combined DoTs  Hoshi Shoten Tick  (A: 7107)",""
"00:52.031","Valigarmanda 1 Burns  Hoshi Shoten Tick  (A: 7107) (T: 34, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 39)--41% damage",""
"00:52.076","Multiple Enemies Combined DoTs  Varka Das'tral Tick  (A: 4741)",""
"00:52.076","Valigarmanda 1 Burns  Varka Das'tral Tick  (A: 4741) (T: 44, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 50)--41% damage",""
"00:52.120","Multiple Enemies Combined DoTs  Fedrea Reed Tick  (A: 4764)",""
"00:52.120","Valigarmanda 1 Burns  Fedrea Reed Tick  (A: 4764) (T: 28, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 32)--41% damage",""
"00:54.796","Multiple Enemies Combined DoTs Snow Wishzz Tick  (A: 7662)",""
"00:54.796","Valigarmanda 1 Burns Snow Wishzz Tick  (A: 7662) (T: 147, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.53, M: 0.53, S: 169)--47% damage",""
"00:54.796","Multiple Enemies Combined DoTs Seraphija Arinsia Tick  (A: 7319)",""
"00:54.796","Valigarmanda 1 Burns Seraphija Arinsia Tick  (A: 7319) (T: 147, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 169)--41% damage",""
"00:54.973","Multiple Enemies Combined DoTs  Nephelia Sol'aria Tick  (A: 7267)",""
"00:54.973","Valigarmanda 1 Burns  Nephelia Sol'aria Tick  (A: 7267) (T: 196, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 226)--41% damage",""
"00:54.973","Multiple Enemies Combined DoTs Flann Firebrand Tick  (A: 7541)",""
"00:54.973","Valigarmanda 1 Burns Flann Firebrand Tick  (A: 7541) (T: 239, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 276)--41% damage",""
"00:55.016","Multiple Enemies Combined DoTs Nej'mii Ulmuhii'e Tick  (A: 7104)",""
"00:55.016","Valigarmanda 1 Burns Nej'mii Ulmuhii'e Tick  (A: 7104) (T: 196, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 226)--41% damage",""
"00:55.016","Multiple Enemies Combined DoTs  Hoshi Shoten Tick  (A: 7107)",""
"00:55.016","Valigarmanda 1 Burns  Hoshi Shoten Tick  (A: 7107) (T: 34, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 39)--41% damage",""
"00:55.061","Multiple Enemies Combined DoTs  Varka Das'tral Tick  (A: 4741)",""
"00:55.061","Valigarmanda 1 Burns  Varka Das'tral Tick  (A: 4741) (T: 44, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 50)--41% damage",""
"00:55.106","Multiple Enemies Combined DoTs  Fedrea Reed Tick  (A: 4764)",""
"00:55.106","Valigarmanda 1 Burns  Fedrea Reed Tick  (A: 4764) (T: 28, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 32)--41% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on Flann Firebrand 50017 (U: 72647)--31% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on Seraphija Arinsia 48339 (U: 70210)--31% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on  Nephelia Sol'aria 42966 (U: 62406)--31% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on Snow Wishzz 53198 (U: 77267)--31% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on  Fedrea Reed 5455 (U: 7924)--31% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on Nej'mii Ulmuhii'e 42967 (U: 62407)--31% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on  Hoshi Shoten 45336 (U: 59263)--23% damage",""
"00:56.041","Valigarmanda prepares  Triscourge  on  Varka Das'tral 24931 (U: 32590)--23% damage",""
"00:57.022","Valigarmanda Triscourge Flann Firebrand 50017 (A: 2349) (U: 76059, M: 23693, 31.15%)",""
"00:57.067","Valigarmanda Triscourge Seraphija Arinsia 48339 (A: 3290) (U: 74989, M: 23360, 31.15%)",""
"00:57.111","Valigarmanda Triscourge  Nephelia Sol'aria 42966 (A: 3347) (U: 67268, M: 20955, 31.15%)",""
"00:57.156","Valigarmanda Triscourge Snow Wishzz 53198 (A: 2874) (U: 81442, M: 25370, 31.15%)",""
"00:57.200","Valigarmanda Triscourge  Fedrea Reed 5455 (A: 26061) (U: 45782, M: 14266, 31.16%)",""
"00:57.244","Valigarmanda Triscourge Nej'mii Ulmuhii'e 42967 (A: 4119) (U: 68390, M: 21304, 31.15%)",""
"00:57.289","Valigarmanda Triscourge  Hoshi Shoten 45336 (A: 4218) (U: 64777, M: 15223, 23.50%)",""
"00:57.333","Valigarmanda Triscourge  Varka Das'tral 24931 (A: 8806) (U: 44102, M: 10365, 23.50%)",""
"00:57.823","Multiple Enemies Combined DoTs Snow Wishzz Tick  7757 (U: 7757)",""
"00:57.823","Valigarmanda 1 Burns Snow Wishzz Tick  7757 (U: 14636) (T: 147, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.53, M: 0.53, S: 169)--47% damage",""
"00:57.823","Multiple Enemies Combined DoTs Seraphija Arinsia Tick  7257 (U: 7257)",""
"00:57.823","Valigarmanda 1 Burns Seraphija Arinsia Tick  7257 (U: 12300) (T: 147, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 169)--41% damage",""
"00:58.002","Multiple Enemies Combined DoTs  Nephelia Sol'aria Tick  7403 (U: 7403)",""
"00:58.002","Valigarmanda 1 Burns  Nephelia Sol'aria Tick  7403 (U: 12548) (T: 196, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 226)--41% damage",""
"00:58.002","Multiple Enemies Combined DoTs Flann Firebrand Tick  7550 (U: 7550)",""
"00:58.002","Valigarmanda 1 Burns Flann Firebrand Tick  7550 (U: 12797) (T: 239, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 276)--41% damage",""
"00:58.046","Multiple Enemies Combined DoTs Nej'mii Ulmuhii'e Tick  7119 (U: 7119)",""
"00:58.046","Valigarmanda 1 Burns Nej'mii Ulmuhii'e Tick  7119 (U: 12067) (T: 196, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.59, M: 0.59, S: 226)--41% damage",""
"00:58.046","Multiple Enemies Combined DoTs  Hoshi Shoten Tick  6970 (U: 6970)",""
